"","group","Session 1","Session 5","Session 6"
"1","1","0.003 [0-0.048]","0.049 [0.006-0.248]","0.02 [0.002-0.094]"
"2","2","0.047 [0.005-0.235]","0.374 [0.072-0.785]","0.286 [0.115-0.523]"
"3","3","0.055 [0.007-0.226]","0.275 [0.072-0.632]","0.2 [0.082-0.383]"
