"","partic","session","token","group","duration","i_min","i_max","ri","ri_2","max_rising_velocity","wmrv","newest","x","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","session_token","group_name"
"27",3,1,23,3,0.0490321902,51.95907063,73.40537287,21.44630224,0.4127537691,778.2933009,"10.60267485","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Comparison"
"28",3,1,32,3,0.03902266973,46.05658124,81.90673398,35.85015274,0.7783937013,1103.489796,"13.47251614","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Comparison"
"29",3,1,37,3,0.03338612244,54.14598689,72.3857152,18.23972831,0.336862053,981.8468423,"13.56409672","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_37","Comparison"
"30",3,1,38,3,0.05536641251,50.24491308,73.5850553,23.34014222,0.4645274674,735.5593941,"9.996043233","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Comparison"
"31",3,1,43,3,0.03547658253,50.67917797,76.40273894,25.72356097,0.5075765234,1079.705211,"14.13176054","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Comparison"
"32",3,1,44,3,0.03484367329,43.05283028,73.96595076,30.91312048,0.7180276017,852.0848126,"11.51996025","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Comparison"
"33",3,5,11,3,0.04388861553,40.84932869,60.45752356,19.60819487,0.4800126586,1014.870924,"16.78651165","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_11","Comparison"
"34",3,5,12,3,0.04020581051,35.67616939,59.71186654,24.03569715,0.6737185512,1701.850243,"28.5010391","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Comparison"
"35",3,5,21,3,0.0442498183,31.44551097,51.0513775,19.60586652,0.6234869754,1687.459191,"33.05413632","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Comparison"
"36",3,5,22,3,0.04276950918,33.53195518,47.67545012,14.14349494,0.4217915379,544.385298,"11.41856651","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_22","Comparison"
"37",3,5,23,3,0.03810783168,37.80117677,59.92694796,22.12577119,0.5853196404,1550.82816,"25.87864412","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_23","Comparison"
"38",3,5,25,3,0.04448471625,35.50107085,62.57302976,27.0719589,0.7625673889,1239.427046,"19.80768792","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Comparison"
"39",3,5,29,3,0.03110661309,38.29321512,62.93866353,24.64544842,0.6435983069,1085.571042,"17.24807903","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Comparison"
"40",3,5,30,3,0.03286875741,43.61285298,50.52247676,6.909623782,0.1584309054,764.268846,"15.12730363","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Comparison"
"41",3,5,33,3,0.05308508774,32.60889003,52.89746468,20.28857465,0.6221792471,958.5172076,"18.12028636","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Comparison"
"42",3,5,41,3,0.04813762285,31.8475114,59.08817347,27.24066207,0.8553466461,1551.978645,"26.26546995","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_41","Comparison"
"43",3,5,44,3,0.04143609711,38.75516192,58.51224817,19.75708625,0.5097923805,1274.037554,"21.77386093","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Comparison"
