"","participant","est","lower","upper","session","fix_ef","estimate_adj","estimate_adj_upper","estimate_adj_lower"
"1","6",0.786390348694111,-0.816358340591868,2.60923001468825,"Session 1",-2.76169149089866,0.121820630797593,0.461958290796969,0.0271712183900112
"2","17",-1.22666262512331,-3.95993938325167,0.807631960170131,"Session 1",-2.76169149089866,0.0181930666365729,0.124111381930356,0.00120312285741321
"3","32",0.24957448746083,-1.59765684465252,2.08191548668004,"Session 1",-2.76169149089866,0.0750130865988755,0.336311297966687,0.012625281673169
"4","42",-1.26942896415813,-3.81329087004045,0.716073330605688,"Session 1",-2.76169149089866,0.017444705047906,0.114495891136657,0.00139288767941103
"5","43",0.772266697953156,-0.997410375930106,2.4661000303288,"Session 1",-2.76169149089866,0.12031772987772,0.426635539347892,0.0227739230955284
"6","44",0.192323365744839,-1.63740264053297,1.97893509277146,"Session 1",-2.76169149089866,0.0711360443493136,0.3137261234254,0.0121392932980706
"7","50",-0.283864956889818,-2.3284728537408,1.69226142723586,"Session 1",-2.76169149089866,0.0454097024618822,0.255511485413124,0.00611933116225844
"8","51",0.516200281604927,-1.20364994290053,2.31305136645858,"Session 1",-2.76169149089866,0.0957390941298039,0.389684137252685,0.0186087111698988
"9","6",-0.537054105644845,-2.91378001053476,1.02553180759549,"Session 5",-3.00901915235062,0.0280293547694987,0.120947575589223,0.00267054347492306
"10","17",-0.225129268629964,-2.5120151173308,1.80353237698057,"Session 5",-3.00901915235062,0.037900687793105,0.230500588064996,0.00398575712481779
"11","32",0.141129892474421,-1.59270065627433,2.0967901432484,"Session 5",-3.00901915235062,0.0537639313876903,0.286543929684902,0.00993487127234009
"12","42",-0.266177398899595,-2.68800579672203,1.77411119661657,"Session 5",-3.00901915235062,0.0364319649240001,0.225323573268793,0.0033447100686816
"13","43",0.689732673804081,-0.818985279742637,2.95201491977416,"Session 5",-3.00901915235062,0.0895382093674128,0.485752799649348,0.0212898638743753
"14","44",0.106994539290401,-1.60049058783476,2.04611265891281,"Session 5",-3.00901915235062,0.0520535699286551,0.276296644013285,0.00985853997067848
"15","50",-0.433265677487613,-2.85678654614769,1.24623747076616,"Session 5",-3.00901915235062,0.0309997770383229,0.146442296016179,0.00282672515513367
"16","51",0.436926104752269,-1.06577695024599,2.56247353089093,"Session 5",-3.00901915235062,0.0709562034479263,0.390182388698436,0.016711653783719
"17","6",0.46197658925022,-0.652000510333203,2.90190569202504,"Session 6",-3.5210172137493,0.0448287647560307,0.3499835488986,0.0151719650171656
"18","17",-0.169799241068908,-2.21866530137315,1.3419788726526,"Session 6",-3.5210172137493,0.0243441947110568,0.101648709347818,0.0032054809271012
"19","32",0.297943158247873,-0.800933178063868,2.34233486094274,"Session 6",-3.5210172137493,0.0383065789370454,0.2352891954122,0.0131000788008096
"20","42",-0.178491492213771,-2.29827610876651,1.26139074440257,"Session 6",-3.5210172137493,0.0241385915954954,0.0945223337985294,0.00296091000230139
"21","43",-0.0901725700273241,-1.88059698546703,1.38633415286788,"Session 6",-3.5210172137493,0.0263088241436531,0.105771232093373,0.00448905368974412
"22","44",-0.0885019874671641,-1.77006830873334,1.29414984320099,"Session 6",-3.5210172137493,0.0263516527877317,0.0973636017406615,0.00501105316662372
"23","50",-0.155571874420413,-1.98674438268143,1.19633672765053,"Session 6",-3.5210172137493,0.0246844134243217,0.0890994563169066,0.00403879632515207
"24","51",-0.128894467529386,-1.92372022248942,1.14840116347712,"Session 6",-3.5210172137493,0.0253348839920758,0.0852848363306872,0.00430040054722288
