"","participant","est","lower","upper","session","fix_ef","estimate_adj","estimate_adj_upper","estimate_adj_lower"
"1","3",-0.370031802530587,-2.54075366465062,1.48157773397914,"Session 1",-3.47186226652812,0.0210023672063997,0.120226763556563,0.00244170035068223
"2","7",0.446214488788647,-1.57260229603464,2.27620900615356,"Session 1",-3.47186226652812,0.0462805494020666,0.232249379705314,0.006403639404935
"3","14",-1.14439152286658,-3.83679828467852,0.933398144073425,"Session 1",-3.47186226652812,0.00979292608946625,0.0732053087364139,0.000669265282509398
"4","16",0.50574556679511,-1.25573921991201,2.50963411948231,"Session 1",-3.47186226652812,0.0489802953968618,0.276432304573965,0.00877007218226969
"5","18",-1.08737490839884,-3.69848500469236,0.937401486343186,"Session 1",-3.47186226652812,0.0103615567671416,0.0734773851709027,0.0007684646219354
"6","35",-1.12289995123199,-3.81165471623001,0.970338219432978,"Session 1",-3.47186226652812,0.0100035411810256,0.0757514076952753,0.000686294643476925
"7","39",0.335987093696385,-1.44271611408633,2.28455945508356,"Session 1",-3.47186226652812,0.0416514575016875,0.233741672812369,0.007285345647509
"8","41",2.85615218523087,1.15964002844084,4.87146775507614,"Session 1",-3.47186226652812,0.350757754116401,0.802121278085968,0.0901157664335979
"9","47",-0.316539332502748,-2.48046512517293,1.65744513203936,"Session 1",-3.47186226652812,0.0221308869169441,0.14010512201552,0.00259304141457288
"10","49",-0.374737044427433,-2.51591658081323,1.51884643467049,"Session 1",-3.47186226652812,0.0209058392006796,0.124224884601397,0.00250295076848847
"11","3",0.168635483557791,-1.51828182279183,2.10242136559966,"Session 5",-2.65667553300998,0.0542655696109584,0.716531979844219,0.00121025764649539
"12","7",0.74136885020303,-0.582947629715374,3.0040397867893,"Session 5",-2.65667553300998,0.187080635220072,0.93236339140676,0.00806418732996581
"13","14",-0.34319732076598,-2.8450299633129,1.56335577861714,"Session 5",-2.65667553300998,0.0156076345121424,0.460104588035215,8.79632232814852e-05
"14","16",-0.644250877459253,-3.24897273046296,0.829103024216054,"Session 5",-2.65667553300998,0.0575851502592232,0.664198672115108,0.000775375476894616
"15","18",-0.349341036874719,-2.84184874975154,1.55263975448003,"Session 5",-2.65667553300998,0.0164088178988785,0.458437554467489,0.000101331764793945
"16","35",-0.339977014743581,-2.68918892281929,1.5032213273932,"Session 5",-2.65667553300998,0.0159918887594789,0.454348495703656,0.000105412999914483
"17","39",-0.0788626389420427,-1.92818859983843,1.55342220679751,"Session 5",-2.65667553300998,0.0832069354274244,0.765182567935843,0.00240552124242228
"18","41",0.337525104287326,-1.50002437839426,2.35601473239827,"Session 5",-2.65667553300998,0.631114674655723,0.989756412394996,0.0475588747233263
"19","47",0.156912919554083,-1.49841339467725,2.08947923928123,"Session 5",-2.65667553300998,0.0564495803402649,0.748428576587269,0.00131112983635992
"20","49",0.165277780757659,-1.52440386765496,2.13764744488769,"Session 5",-2.65667553300998,0.053853256755253,0.731022861894641,0.00123309274936352
"21","3",-0.0651885874231886,-1.76540046204912,1.35714215618494,"Session 6",-4.04314640007696,0.0112245180867161,0.230688701154123,0.000236505980995704
"22","7",-0.0369928078839423,-1.74371159786808,1.51583293635306,"Session 6",-4.04314640007696,0.0257326605259134,0.437551673157479,0.000636136984498051
"23","14",-0.120687286862445,-2.04354552978563,1.4283116384395,"Session 6",-4.04314640007696,0.00492631664623666,0.156905330739931,4.90074013577283e-05
"24","16",0.288778493737568,-0.960758248343338,2.6601573446612,"Session 6",-4.04314640007696,0.0373764231978797,0.755219226254145,0.00190827808542119
"25","18",-0.114164546250553,-1.94212528144991,1.41330182470115,"Session 6",-4.04314640007696,0.0052477940751626,0.155454820277999,6.22831912870545e-05
"26","35",-0.133383401968514,-2.07884319406232,1.39210198080649,"Session 6",-4.04314640007696,0.00496962068064609,0.157001979030309,4.85123174674892e-05
"27","39",-0.0985607912340223,-1.82835090747062,1.16538725461954,"Session 6",-4.04314640007696,0.0217591808913069,0.355901034003326,0.000665561704829936
"28","41",0.501313021992209,-1.02173047583692,3.2393428371546,"Session 6",-4.04314640007696,0.334994501039153,0.983170747155257,0.0197387221662729
"29","47",-0.0787181132788308,-1.77764599151968,1.27730206047194,"Session 6",-4.04314640007696,0.0116768225805499,0.248169446188558,0.000248142919252306
"30","49",-0.0866758498445299,-1.68924109677946,1.35912485320578,"Session 6",-4.04314640007696,0.0109375105878876,0.237728212419085,0.000261633537423248
