"","partic","session","token","group","duration","i_min","i_max","ri","ri_2","max_rising_velocity","wmrv","spectral","category","session_token"
"40",16,2,5,"Comparison",0.057955665,56.71915771,81.04052389,24.32136619,0.428803374,350.3006253,4.322536535,"Continuous","approximant","2_5"
"41",18,2,1,"Comparison",0.055814342,40.80825323,69.98541125,29.17715802,0.714981792,959.0916692,13.70416566,"Whitening","approximant","2_1"
"42",18,2,2,"Comparison",0.018626,47.12510527,58.90325884,11.77815357,0.249933735,911.8851739,15.48106492,"Continuous","approximant","2_2"
"43",18,2,3,"Comparison",0.01427,48.28338581,64.3061503,16.02276449,0.331848403,774.7713948,12.04816944,"Continuous","approximant","2_3"
"44",18,2,4,"Comparison",0.071742513,35.37819319,54.7941309,19.41593771,0.54881089,1504.524885,27.45777442,"Whitening","approximant","2_4"
"45",18,2,5,"Comparison",0.046001492,48.20449167,65.72059491,17.51610324,0.36337077,366.0779345,5.570216383,"Continuous","approximant","2_5"
"46",20,2,1,"Experimental-High",0.051921281,37.84541077,60.15105932,22.30564854,0.589388465,437.8806597,7.279683261,"Whitening","approximant","2_1"
"47",20,2,2,"Experimental-High",0.058411883,43.7109195,58.24380589,14.53288639,0.332477252,651.6708859,11.18867279,"Stripe/Burst","stop","2_2"
"48",20,2,3,"Experimental-High",0.055076701,35.97362318,59.78694294,23.81331977,0.66196612,1391.413074,23.27285868,"Stripe/Burst","stop","2_3"
"49",20,2,4,"Experimental-High",0.049893484,43.19454986,60.59569406,17.4011442,0.402855088,911.8845116,15.04866849,"Stripe/Burst","stop","2_4"
"50",20,2,5,"Experimental-High",0.03966281,24.17137688,55.44420143,31.27282456,1.293795745,1807.322343,32.59713904,"Stripe/Burst","stop","2_5"
"51",21,2,1,"Experimental-High",0.041556283,44.25142442,68.29142964,24.04000522,0.543259467,654.459882,9.583338429,"Continuous","approximant","2_1"
"52",21,2,2,"Experimental-High",0.086726045,41.79594512,63.86360299,22.06765787,0.527985617,1088.506401,17.04423725,"Whitening","approximant","2_2"
"53",21,2,3,"Experimental-High",0.090669408,40.69872986,74.65132686,33.952597,0.834242177,1411.498362,18.90788043,"Whitening","approximant","2_3"
"54",21,2,4,"Experimental-High",0.056914426,51.05283583,72.65311532,21.60027949,0.423096565,819.4179598,11.27849723,"Whitening","approximant","2_4"
"55",21,2,5,"Experimental-High",0.059132407,51.20812026,66.45910669,15.25098643,0.297823594,402.0778584,6.050003956,"Whitening","approximant","2_5"
"56",23,2,1,"Experimental-High",0.05330577,59.13539472,77.87275631,18.73736159,0.316855272,410.0097739,5.265124715,"Continuous","approximant","2_1"
"57",23,2,2,"Experimental-High",0.038609066,53.01232771,73.14044008,20.12811237,0.379687391,834.75107,11.41298944,"Continuous","approximant","2_2"
"58",23,2,3,"Experimental-High",0.045235376,69.2296671,77.88986089,8.660193785,0.125093679,284.209127,3.648859091,"Continuous","approximant","2_3"
"59",23,2,4,"Experimental-High",0.05368667,67.6100876,72.68612169,5.076034094,0.075078058,183.3506507,2.522498744,"Continuous","approximant","2_4"
"60",23,2,5,"Experimental-High",0.057798897,56.53492496,73.33361505,16.79869009,0.297138275,353.9680225,4.826818128,"Continuous","approximant","2_5"
"61",28,2,1,"Experimental",0.053910674,47.15773347,63.60046807,16.4427346,0.348675252,412.5490076,6.486571877,"Continuous","approximant","2_1"
"62",28,2,2,"Experimental",0.0174,45.5366657,57.85769896,12.32103326,0.270573901,689.0634664,11.90962445,"Stripe/Burst","tap","2_2"
"63",28,2,3,"Experimental",0.017,50.38043117,63.02921201,12.64878084,0.251065355,760.1786998,12.06073621,"Continuous","tap","2_3"
"64",28,2,4,"Experimental",0.0188,47.10499582,60.46772973,13.36273391,0.28367976,834.347437,13.7982266,"Continuous","tap","2_4"
"65",28,2,5,"Experimental",0.0282,38.86912941,62.12113764,23.25200823,0.598212735,826.4076363,13.30316327,"Whitening","tap","2_5"
"66",31,2,1,"Experimental",0.073381155,43.75686372,58.86018155,15.10331784,0.345164542,459.3634154,7.804315299,"Continuous","approximant","2_1"
"67",31,2,2,"Experimental",0.083573055,39.02936023,62.43427883,23.4049186,0.599674667,1254.73365,20.09687103,"Stripe/Burst","stop","2_2"
"68",31,2,3,"Experimental",0.078113456,52.03859936,63.02588663,10.98728727,0.21113726,464.2168961,7.365495686,"Continuous","approximant","2_3"
"69",31,2,4,"Experimental",0.048557157,57.14394427,59.5549292,2.410984927,0.042191434,98.17867857,1.648539926,"Continuous","approximant","2_4"
"70",31,2,5,"Experimental",0.053944808,37.54209465,55.46010718,17.91801253,0.477277911,542.776063,9.786783521,"Continuous","approximant","2_5"
